,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
36,0.004001299540201823,1.1239159602905075e-07,0.0036617120107014975,0.00046843211410546484,"{0: 1, 1: 1}",6,6,4,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 6, 'min_samples_leaf': 6, 'min_samples_split': 4}",0.6764705882352942,0.7407407407407408,0.6991869918699186,70.54661069486512,0.026611195518644878,11
37,0.006993850072224935,9.521498681802135e-06,0.005340576171875,0.00045164572303656826,"{0: 1, 1: 1}",6,6,5,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 6, 'min_samples_leaf': 6, 'min_samples_split': 5}",0.676923076923077,0.7407407407407408,0.6991869918699186,70.56169365112454,0.02644720142540588,10
38,0.0063330332438151045,0.0004707522905303149,0.005000591278076172,1.9466795466607238e-07,"{0: 1, 1: 1}",6,6,6,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 6, 'min_samples_leaf': 6, 'min_samples_split': 6}",0.6764705882352942,0.7407407407407408,0.6991869918699186,70.54661069486512,0.026611195518644878,11
39,0.006993929545084636,0.000817180652750767,0.005333344141642253,0.0004571629402692021,"{0: 1, 1: 1}",6,7,4,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 6, 'min_samples_leaf': 7, 'min_samples_split': 4}",0.6865671641791045,0.7464788732394365,0.6875000000000001,70.68486791395138,0.028025366592492055,7
40,0.005667050679524739,0.0012471499763186424,0.004333655039469401,0.0012472136936510618,"{0: 1, 1: 1}",6,7,5,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 6, 'min_samples_leaf': 7, 'min_samples_split': 5}",0.6865671641791045,0.7464788732394365,0.6875000000000001,70.68486791395138,0.028025366592492055,7
41,0.0036663214365641275,0.0004719885175601573,0.0030047098795572915,5.959934634924785e-06,"{0: 1, 1: 1}",6,7,6,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 6, 'min_samples_leaf': 7, 'min_samples_split': 6}",0.6865671641791045,0.7464788732394365,0.6875000000000001,70.68486791395138,0.028025366592492055,7
42,0.004332542419433594,0.00047205048342584933,0.0029996236165364585,5.619579801452538e-07,"{0: 1, 1: 1}",6,8,4,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 6, 'min_samples_leaf': 8, 'min_samples_split': 4}",0.6715328467153284,0.6875,0.6666666666666666,67.52331711273317,0.008898548383865586,70
43,0.003667116165161133,0.0004720447434618672,0.003671566645304362,0.0004750283557993371,"{0: 1, 1: 1}",6,8,5,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 6, 'min_samples_leaf': 8, 'min_samples_split': 5}",0.6715328467153284,0.6875,0.6666666666666666,67.52331711273317,0.008898548383865586,70
44,0.003999074300130208,0.0008144907533406848,0.0036667982737223306,0.00047080875797289405,"{0: 1, 1: 1}",6,8,6,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 6, 'min_samples_leaf': 8, 'min_samples_split': 6}",0.6715328467153284,0.6875,0.6666666666666666,67.52331711273317,0.008898548383865586,70
45,0.003667116165161133,0.0004710331789577517,0.0036667188008626304,0.00047159658334802046,"{0: 1, 1: 1}",6,9,4,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 6, 'min_samples_leaf': 9, 'min_samples_split': 4}",0.6715328467153284,0.6875,0.6518518518518519,67.02948995223935,0.01457959765191185,79
46,0.004333655039469401,0.00047108946525358333,0.003000338872273763,4.052336624139774e-07,"{0: 1, 1: 1}",6,9,5,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 6, 'min_samples_leaf': 9, 'min_samples_split': 5}",0.6715328467153284,0.6875,0.6518518518518519,67.02948995223935,0.01457959765191185,79
47,0.0036681493123372397,0.0004719329541161886,0.0036656856536865234,0.00047255047552836746,"{0: 1, 1: 1}",6,9,6,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 6, 'min_samples_leaf': 9, 'min_samples_split': 6}",0.6715328467153284,0.6875,0.6518518518518519,67.02948995223935,0.01457959765191185,79
48,0.004001299540201823,0.0008171187416432188,0.0033326148986816406,0.00047137071552122374,balanced,3,6,4,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 4}",0.6271186440677966,0.7349397590361444,0.6857142857142857,68.25908962727422,0.04407315796458639,61
